"","products_sold","product_category","quality","satisfaction","discount","retail_price","perc_physical","market_size"
"70",175766,"toys","premium",4.6,14,16,71.5,1134
"71",33788,"health","off_brand",2.9,1,25,66.1,686
"72",120386,"toys","premium",4.5,21,36,78.3,889
"73",137911,"toys","off_brand",4.4,17,16,58,958
"74",184838,"toys","off_brand",4.6,6,28,56.2,2801
"75",142294,"health","off_brand",2.6,5,14,51.7,3122
"76",104034,"food","off_brand",3.7,9,24,41.5,1015
"77",129283,"health","off_brand",4.7,16,4,59.1,679
"78",71784,"toys","off_brand",3.7,2,21,73.3,1224
"79",194167,"toys","premium",4.7,2,15,80.4,2449
"80",108727,"toys","premium",4.4,6,23,77.8,1377
"81",159135,"health","premium",4.6,9,30,47.6,1146
"82",96309,"health","premium",2.2,8,19,44.9,2454
"83",79322,"health","off_brand",3.6,2,NA,39,1372
"84",264266,"food","off_brand",4.8,14,15,64,2340
"85",143671,"toys","off_brand",4.5,11,20,NA,1186
"86",158312,"toys","off_brand",4.8,4,9,82.2,950
"87",168163,"other","off_brand",4.5,16,29,51.8,1427
"88",228481,"other","off_brand",4.5,19,17,39.5,2488
"89",153415,"other","off_brand",4.4,4,12,80,1939
"90",167799,"health","off_brand",3.1,6,7,67,3396
"91",89422,"other","off_brand",2.8,10,NA,39.8,854
"92",95134,"toys",NA,3.6,12,26,31.6,1978
"93",137978,"toys","premium",4.2,5,29,61.3,2605
"94",153835,"toys","off_brand",4.7,19,32,85.4,849
"95",115434,"toys","premium",4,3,28,28.8,1895
"96",117072,"toys","premium",4,13,NA,32.2,1762
"97",230316,"food","off_brand",4.6,6,26,73,3208
"98",90466,"toys","off_brand",3.7,9,17,44.9,1281
"99",111687,"health","premium",4.5,11,17,25.8,1708
"100",173959,"health","premium",4.8,13,32,11.3,2098
"101",96110,"toys","off_brand",4.6,18,26,64.6,338
"102",216140,"toys","off_brand",5,9,17,117.8,1930
"103",156125,"toys","off_brand",4.8,15,29,41.5,910
"104",78144,"health","off_brand",4.3,9,23,78,1211
"105",138325,"health","premium",3.6,9,29,68.7,3167
"106",152589,"toys","off_brand",4.7,9,7,47.2,987
"107",83520,"toys","premium",4.1,8,18,37.1,1056
"108",109410,"health","off_brand",4.1,10,23,68.6,1513
"109",267598,"health","off_brand",4.8,3,11,55.6,3371
"110",94350,"toys","off_brand",3.7,10,12,55.5,1236
"111",133739,"toys","premium",4.3,4,NA,31.1,2747
"112",193558,"health","premium",3.9,7,24,5,3196
"113",165368,"health","off_brand",3.7,2,17,45.4,4179
"114",121207,"toys","off_brand",4.2,10,26,36.1,1772
"115",190379,"health","premium",4.1,12,21,46.5,2910
"116",102334,"toys","off_brand",3.1,19,23,51.7,1697
"117",144540,"health","premium",4.9,10,19,56.7,1243
"118",250567,"health","off_brand",4.8,12,22,56,3146
"119",105325,"health","off_brand",4.6,6,25,22,881
"120",94837,"health","off_brand",4,5,24,68.8,2000
"121",145214,"health","premium",4.1,3,29,42.3,2637
"122",122003,"food","off_brand",3.7,7,7,90.9,1324
"123",109670,"health","off_brand",4.2,12,20,12,1194
"124",68692,"health","premium",3.6,10,26,16.9,1017
"125",105626,"toys","off_brand",4.3,4,18,54.8,731
"126",203010,"other","off_brand",4.7,3,25,62,2463
"127",157254,"health","premium",4,14,28,39.7,1562
"128",82039,"toys",NA,3.6,4,15,45.1,1107
"129",140991,"health","premium",4.7,11,11,8.4,1942
"130",170899,"health","premium",4.8,5,36,44.5,2008
"131",241319,"health","off_brand",4.6,24,15,60.8,2969
"132",304493,"health","off_brand",4.8,20,3,41.4,3626
"133",244563,"health","premium",4.7,17,3,17,2488
"134",162960,"other","premium",4.5,8,23,60.6,2039
"135",188366,"health","premium",3.7,3,20,56.4,3540
"136",115326,"health","premium",3.2,21,NA,68,1058
"137",114808,"toys","off_brand",4.5,2,19,80.7,988
"138",131716,"toys","off_brand",4.5,15,29,52.3,1411
"139",64481,"toys","off_brand",3.7,2,24,58.4,1844
"140",187470,"toys","premium",4.2,19,18,60.5,2693
"141",193179,"health","premium",4.3,13,18,41.1,2367
"142",202250,"toys","premium",4.8,14,NA,76.9,2406
"143",153538,"toys","off_brand",4.5,14,31,35.5,891
"144",118944,"toys","premium",4.4,4,NA,74.2,767
"145",214094,"toys","premium",4.7,11,25,80.5,3400
"146",95397,"other","off_brand",3.8,6,25,88.4,1188
"147",89760,"toys","premium",3.9,20,19,23.1,751
"148",91427,"health","off_brand",3.5,16,25,51.7,970
"149",140304,"other","off_brand",3.6,15,13,45.6,2123
"150",118000,"other","premium",4.2,12,24,15.1,758
"151",126148,"health","premium",4,1,26,NA,2685
"152",159895,"health","off_brand",4.5,3,NA,33.7,2488
"153",212053,"food","premium",4.5,8,14,54.5,2767
"154",158814,"health","off_brand",3.4,3,16,31.7,2901
"155",26725,"toys","premium",4.2,1,16,42.6,794
"156",70833,"health","premium",3.8,4,21,5,1007
"157",57535,"other","premium",1.9,10,12,5,815
"158",157258,"health","off_brand",4.3,5,13,6.3,2482
"159",154478,"health","premium",3.5,3,22,30,3098
"160",114671,"health","premium",3.5,11,28,48.9,1717
"161",214843,"health","off_brand",4.8,7,17,51.4,2270
"162",125672,"health","off_brand",4.6,15,27,51.7,643
"163",126405,"health","premium",4.8,1,22,44.3,751
"164",143225,"other","premium",3.8,6,15,NA,2418
"165",112896,"health","premium",2.8,17,19,NA,2693
"166",164362,"other",NA,4.5,5,26,39.8,2806
"167",187979,"health","off_brand",4.5,5,21,58.9,2724
"168",182126,"toys","premium",4.8,5,21,46.9,2464
"169",81021,"other","premium",3.6,5,23,12.3,1029
"170",247355,"toys","off_brand",4.3,15,28,75,2941
"171",195417,"health","off_brand",4.9,18,17,25,1110
"172",175822,"food","premium",2.2,9,13,82.1,2018
"173",117934,"toys","premium",3.9,17,21,58.4,1166
"174",114614,"food","premium",4.5,4,18,85.4,947
"175",76965,"other","off_brand",3.6,7,14,49,702
"176",127156,"health","premium",4,14,23,34.1,1497
"177",209276,"food",NA,4.6,4,20,48.3,2928
"178",112145,"toys","off_brand",4.2,5,22,75.3,1022
"179",207792,"health","premium",4.1,14,19,60.3,3011
"180",229894,"health","off_brand",4.6,16,23,64,3151
"181",133313,"health","off_brand",4.6,4,25,54.5,739
"182",179849,"health","off_brand",4.3,3,24,42.3,2770
"183",147957,"toys","off_brand",4.6,2,15,24.2,1564
"184",158948,"toys","premium",3.8,2,17,78.5,2938
"185",83364,"health","premium",3,4,13,42.9,2895
"186",171257,"health","off_brand",4.7,14,23,42.5,1078
"187",205296,"health","premium",4.6,3,23,23.3,2992
"188",248210,"health","off_brand",4.7,18,11,5,2500
"189",103931,"health","off_brand",3.5,6,NA,18.6,1013
"190",136741,"toys","premium",4.8,4,17,NA,981
"191",152514,"toys","premium",4.8,6,29,61.7,1690
"192",91193,"food","premium",3.9,6,NA,74.7,648
"193",146562,"health","premium",4.2,9,14,11.7,1568
"194",152811,"toys","premium",4.4,9,23,11.2,1937
"195",92790,"health","off_brand",4.1,5,17,62.1,927
"196",55492,"other","off_brand",3.6,8,19,40.8,915
"197",40620,"health","premium",3.9,9,30,59.2,985
"198",190269,"health","off_brand",4.8,2,28,32.9,2090
"199",215618,"food",NA,4.1,6,NA,39.8,3416
"200",149253,"toys","off_brand",3.5,4,NA,58.7,2549
"201",86519,"health","off_brand",4.2,3,17,57.5,970
"202",82830,"health","off_brand",4,8,18,72.7,1078
"203",78699,"other","off_brand",4,8,20,9.3,857
"204",164150,"toys","premium",4.6,7,14,49,1907
"205",210044,"other","premium",4.6,19,29,43.5,2309
"206",104064,"food","off_brand",4,7,38,63.7,1231
"207",101667,"toys","premium",4.3,4,24,33.2,970
"208",139956,"toys","off_brand",4.7,4,18,50,934
"209",87096,"food","off_brand",3.9,2,22,55.5,959
"210",176343,"toys","premium",4.7,8,17,68.6,2385
"211",156643,"health","off_brand",4.4,7,24,23.1,2225
"212",167857,"food","premium",4.4,13,21,21.9,2347
"213",156701,"toys","off_brand",4.3,8,15,63.8,1708
"214",148423,"food","off_brand",4.5,5,28,59.8,974
"215",155668,"health","premium",4.6,17,NA,59.4,1716
"216",226754,"toys","premium",4.4,16,22,58.1,3336
"217",93438,"toys","premium",3.5,2,14,19.3,2286
"218",110175,"food","off_brand",4.6,5,23,62.4,756
"219",151607,"health","off_brand",4,4,17,9,2549
"220",156512,"toys","off_brand",3.2,8,21,75.7,2854
"221",139044,"toys","premium",3.6,5,25,87.2,2934
"222",134448,"toys","premium",3.3,14,13,69.7,2583
"223",105834,"health","premium",4.2,12,19,26,961
"224",103270,"other","off_brand",4.1,4,28,40.3,802
"225",159375,"other","off_brand",4.8,4,14,56.9,1767
"226",134144,"health","off_brand",4.5,5,24,25.6,1132
"227",44001,"other","premium",3,2,NA,42,1358
"228",144729,"other","premium",4.1,8,NA,20.2,2925
"229",227668,"health","premium",4.7,8,17,53.5,2328
"230",101960,"other","off_brand",4.5,2,11,30.5,947
"231",179037,"other","off_brand",3.5,10,4,37.8,3114
"232",165254,"food","premium",3.5,4,20,44.9,2996
"233",185769,"toys","off_brand",4.6,8,33,63.4,2921
"234",209490,"health","premium",4.3,6,18,48.7,3793
"235",106025,"health","premium",4.2,1,17,66.7,1248
"236",218329,"health","off_brand",4.5,8,NA,71.7,2879
"237",220966,"toys","off_brand",4.5,2,19,51.4,3439
"238",189829,"toys","premium",4.4,3,19,35.4,2901
"239",125229,"health","off_brand",4.5,14,29,16,968
"240",112972,"toys",NA,3.9,10,NA,23.2,1149
"241",104259,"toys","off_brand",4,12,14,46,1098
"242",145537,"toys","off_brand",4.9,9,18,69.6,1209
"243",93373,"other","premium",4.8,8,24,41.6,774
"244",110937,"health","off_brand",4.3,2,20,81.1,1148
"245",199002,"toys","premium",4.7,11,21,47.9,2443
"246",167744,"food","off_brand",4.2,3,25,74.5,1999
"247",117435,"health","off_brand",4,4,23,78.3,928
"248",173377,"health","off_brand",4.4,15,20,42.4,2693
"249",38877,"food","premium",3.2,193,17,67.5,654
"250",233932,"toys","premium",4.8,6,11,48.9,3582
"251",84344,"toys","premium",4.6,9,19,43.7,1581
"252",219430,"food",NA,4.8,1,14,69.9,2633
"253",155719,"food","premium",4.1,5,27,52.2,2999
"254",181935,"health","off_brand",4.9,7,15,7.6,935
"255",42981,"toys","off_brand",3.3,10,14,76.3,895
"256",194907,"food","off_brand",4.7,22,1,69.8,1185
"257",156125,"toys","premium",4.8,5,18,84,2625
"258",165799,"health","off_brand",4.7,17,19,80.8,960
"259",158146,"toys","premium",4.8,3,30,56.7,1759
"260",87983,"toys","premium",3.3,11,9,74.4,1566
"261",111917,"toys","premium",3.2,12,18,35.3,2296
"262",210948,"health","premium",4.4,3,19,67.3,3588
"263",92979,"food","off_brand",3,12,22,77.6,919
"264",170943,"other","off_brand",4.6,2,23,32.3,1370
"265",97775,"toys","off_brand",4,9,NA,78.8,818
"266",124847,"health","off_brand",4.3,2,23,66.8,1299
"267",126666,"toys","premium",4.4,2,24,64.8,2091
"268",136099,"toys","off_brand",3.6,1,12,80.7,2648
"269",90996,"other","premium",4.5,4,25,46.3,1072
"270",88349,"toys","off_brand",4.4,7,14,73.6,544
"271",200026,"toys","off_brand",4,2,11,47.7,3560
"272",82142,"health","premium",4.6,2,28,23.3,1217
"273",145931,"other","off_brand",4.7,9,36,25.1,965
"274",126127,"toys","off_brand",4.4,8,10,45.8,1161
"275",177803,"toys","off_brand",4.4,9,24,32.4,2527
"276",248149,"food",NA,4.4,13,26,69.5,3027
"277",52532,"health","premium",4,5,19,38.3,733
"278",171870,"toys","off_brand",4.1,7,18,83.5,2670
"279",165187,"toys","off_brand",3,14,30,38.5,2980
"280",169820,"health","premium",4.4,17,20,58.3,2463
"281",170442,"health","off_brand",4.3,13,22,39.4,2139
"282",111421,"toys","premium",4,4,14,80.7,779
"283",157268,"other","premium",4.4,1,20,NA,1824
"284",147079,"toys","off_brand",4.5,17,26,41.1,1423
"285",95242,"toys","off_brand",2.9,6,25,88.2,1461
"286",225039,"other","off_brand",4.8,17,11,NA,1989
"287",176791,"health","premium",4.4,1,14,46.2,2938
"288",276065,"other","premium",4.7,12,15,58.6,4027
"289",89651,"toys","premium",3.2,5,10,58.2,1585
"290",123139,"toys","premium",4.8,1,NA,52.6,1027
"291",124308,"toys","off_brand",4.3,5,NA,63.7,1626
"292",89795,"food","off_brand",4.1,3,28,59.1,944
"293",56833,"toys","off_brand",4.4,4,18,64,664
"294",165116,"health","off_brand",4.7,6,NA,52,984
"295",161920,"toys",NA,4.3,1,25,51.4,3287
"296",147969,"health","premium",4.6,12,14,62.9,769
"297",199354,"health","premium",4.7,7,31,43.6,2408
"298",126649,"food","premium",4.5,6,17,34.5,1317
"299",173235,"food","premium",4.7,2,9,52.2,1729
"300",125410,"toys","off_brand",4.6,2,14,66.1,1043
"301",174090,"other",NA,4.6,3,21,25.8,1131
"302",188198,"toys","premium",4.5,2,NA,60,3106
"303",130944,"health","off_brand",4.1,4,12,17.5,2434
"304",180589,"health","premium",4.7,8,9,5.6,2199
"305",203190,"health","premium",3.9,4,2,28.6,3279
"306",189172,"health","off_brand",4.2,17,24,27.8,2624
"307",135758,"toys",NA,4.5,6,24,85.6,999
"308",145454,"toys","off_brand",4.6,9,29,47.5,1093
"309",143177,"other","off_brand",4.3,10,7,75.4,2051
"310",116389,"health","premium",3.9,5,11,23.8,941
"311",172129,"health","off_brand",4.5,7,23,66.6,2046
"312",76172,"health","off_brand",4.2,5,29,24.7,920
"313",118385,"toys","off_brand",4,8,31,39,2626
"314",123992,"toys","premium",3.2,4,20,64.4,3081
"315",113503,"health","off_brand",3.7,9,22,61.7,1202
"316",274940,"toys","off_brand",4.8,18,25,52.8,3596
"317",108569,"toys","off_brand",3.5,203,18,67,1342
"318",127169,"toys",NA,4.2,206,16,43.2,2121
"319",63708,"health","off_brand",3.6,4,15,30.6,1180
"320",140601,"toys","off_brand",4.1,9,12,68.9,1191
"321",177135,"health","premium",4.6,3,13,67,2396
"322",142772,"health","off_brand",4.2,6,15,17.9,2308
"323",237274,"other","off_brand",4.3,7,12,13.2,4102
"324",133881,"health","premium",4.5,11,21,29.9,930
"325",172421,"toys","premium",4.3,4,NA,32.4,2277
"326",117831,"other","premium",4.2,3,13,47.1,1173
"327",168171,"health","off_brand",4.6,6,22,NA,2586
"328",176396,"other","off_brand",4.1,14,34,17.4,2479
"329",158239,"toys","off_brand",4.5,6,13,82,1835
"330",127090,"other","premium",4.6,17,19,19.3,764
"331",121682,"health","off_brand",4.4,9,13,66.8,965
"332",108842,"toys","premium",3.9,10,26,53.8,2489
"333",121463,"health","off_brand",4.4,1,23,NA,1208
"334",194731,"health",NA,4.9,15,31,5,2575
"335",165747,"other","off_brand",4.7,9,14,68.2,2111
"336",140335,"health","off_brand",3.3,18,NA,26.8,1895
"337",151996,"toys",NA,4,13,18,41.7,3131
"338",220880,"toys","off_brand",4.7,1,14,41.6,2288
"339",79942,"toys","off_brand",4.1,8,28,74.9,827
"340",136023,"food","off_brand",4,13,13,43.3,1269
"341",175745,"health","premium",4.8,14,34,37.7,1607
"342",120234,"health","off_brand",4.5,5,19,79.2,853
"343",176486,"health","off_brand",3.7,9,NA,NA,3124
"344",111537,"health",NA,4,6,29,46.7,984
"345",114760,"toys","off_brand",4.3,3,20,72,789
"346",175903,"food","premium",4.1,0,27,26.6,2257
"347",158492,"toys","premium",4.4,8,21,71.3,2451
"348",139115,"health","premium",4.4,6,17,47.3,911
"349",134760,"toys",NA,3.1,14,9,10.9,1361
"350",192088,"health","premium",4.7,3,7,10.9,2520
"351",123628,"health","off_brand",4.9,8,19,70.1,709
"352",122294,"food","off_brand",3.1,13,14,62.9,1050
"353",59874,"health","off_brand",3.2,4,18,44.1,972
"354",246757,"food","off_brand",4.7,5,24,70.1,2907
"355",161155,"toys","off_brand",3.9,8,23,90.4,2966
"356",76568,"toys","off_brand",3.1,18,20,74.8,1048
"357",103980,"toys","off_brand",3.7,5,21,90.5,2587
"358",171185,"food","off_brand",4,5,6,53,2538
"359",94858,"other","off_brand",4.1,5,19,59.7,800
"360",89086,"health",NA,3.7,5,16,34.4,788
"361",132667,"health","off_brand",4.3,6,25,61.7,1608
"362",197347,"health","off_brand",4.2,10,20,27.3,1983
"363",112168,"health","premium",4.3,9,9,43,957
"364",213743,"toys","off_brand",4.6,10,15,73.7,3151
"365",199147,"toys","off_brand",4.9,6,16,65.9,1351
"366",181637,"other","premium",4.5,3,12,51.9,2174
"367",286392,"health","off_brand",4.6,8,8,69.3,3671
"368",209618,"food","off_brand",4.9,13,5,55.2,935
"369",165103,"other","premium",3.4,1,28,24.6,2473
"370",65825,"health","premium",4,12,16,46.9,685
"371",170616,"food","premium",4.9,4,12,45.8,1370
"372",135459,"health","off_brand",4.7,6,20,38.5,960
"373",70923,"health","off_brand",3.7,12,14,30.4,1032
"374",178060,"food","off_brand",4.6,5,21,65.5,786
"375",238105,"toys","off_brand",4.8,3,15,80.6,2917
"376",131323,"health","off_brand",4.2,9,22,52.1,1974
"377",120540,"health","off_brand",4,8,18,NA,884
"378",70452,"toys",NA,3.6,7,9,31.1,1046
"379",212871,"food","off_brand",4.9,1,10,75,2121
"380",81006,"other","premium",4.1,2,24,NA,699
"381",195523,"food","off_brand",4.6,5,15,55.7,1713
"382",120238,"health","premium",4.4,10,18,60.2,1056
"383",119936,"toys","off_brand",4.6,6,8,62.6,1007
"384",95015,"health","premium",3.3,3,40,62.1,2219
"385",197774,"health","off_brand",4,3,11,78.4,3358
"386",131644,"other","off_brand",2.9,5,NA,36.6,1518
"387",96556,"food","off_brand",3.8,7,NA,23.2,636
"388",91653,"toys","premium",4.4,10,25,32.1,669
"389",232484,"health","off_brand",3.8,146,11,69.2,3475
"390",192908,"health","off_brand",4.2,3,5,31.2,2967
"391",139120,"food","off_brand",3.3,4,17,52.2,2948
"392",141436,"toys","off_brand",4.2,22,NA,49.7,906
"393",135978,"health","off_brand",3.1,8,NA,71.8,2388
"394",127866,"health","premium",4.5,4,15,NA,1071
"395",198485,"food","premium",4.6,7,14,43.5,2277
"396",172688,"health","off_brand",4.4,9,16,51.9,949
"397",89067,"toys","off_brand",3.5,2,17,67.3,1142
"398",65001,"health","premium",3.9,16,23,34.2,1113
"399",131021,"health","premium",2.8,5,19,21.3,2755
"400",216677,"food","premium",4.3,17,18,72.3,2342
"401",186690,"health","premium",4.2,8,25,49.2,2837
"402",136068,"toys","off_brand",4.2,14,NA,77.9,1272
"403",53431,"health","premium",3.6,5,12,19.9,450
"404",84931,"food","premium",2.9,14,34,28.7,955
"405",98140,"other","premium",4.4,7,14,40.7,784
"406",115598,"toys","off_brand",4.1,9,18,54.2,886
"407",244089,"health","off_brand",3.9,2,26,39.4,3314
"408",104608,"toys",NA,4.2,14,17,80.3,1196
"409",115678,"toys","off_brand",4.5,15,27,53.7,1130
"410",162051,"toys","premium",4.7,5,16,61.8,2200
"411",134008,"toys","premium",4.5,5,13,56.8,1206
"412",16161,"toys","premium",3,9,29,37.4,640
"413",158271,"health","premium",3.8,15,27,53,2555
"414",179835,"food",NA,3.1,6,26,79.9,3138
"415",251717,"health","off_brand",4.8,13,11,75.3,2312
"416",120863,"food","premium",4.1,10,21,25.1,945
"417",157458,"toys","off_brand",3.9,13,19,68.2,2145
"418",82640,"toys","off_brand",3.6,11,30,76.4,868
"419",120384,"health",NA,4.2,5,23,61.9,1369
"420",66240,"health","off_brand",3.9,6,23,38.2,1082
"421",164041,"toys","off_brand",4.8,8,30,73.7,813
"422",228580,"toys","off_brand",4.9,7,25,63,2322
"423",74048,"toys","off_brand",4.6,2,36,76.7,858
"424",151845,"toys","premium",4.2,11,20,52.1,2275
"425",173438,"toys","premium",4.6,12,NA,42.6,2852
"426",115543,"food","off_brand",4.2,5,14,58.6,998
"427",131963,"toys","off_brand",4.6,13,29,43.4,887
"428",153875,"health","premium",4.9,7,24,41.9,997
"429",75357,"toys","premium",3.6,11,22,26.3,1094
"430",99687,"food","premium",4.1,7,29,66.5,876
"431",212908,"food",NA,4.7,2,27,69.6,2709
"432",119478,"health","off_brand",4.6,11,33,60.2,639
"433",161606,"health","off_brand",4.2,21,13,NA,1418
"434",121491,"health",NA,4.6,11,19,48.8,639
"435",222554,"food","off_brand",3.4,4,10,NA,3182
"436",76402,"health","premium",3.5,9,NA,39.2,1261
"437",113119,"food","off_brand",4.3,5,28,72.2,1428
"438",218157,"toys","off_brand",4.8,6,28,42.3,2753
"439",195174,"other","premium",4.4,4,14,30.5,3446
"440",98745,"toys","off_brand",4,15,21,79.3,798
"441",127566,"health","off_brand",4.3,9,31,17.6,1502
"442",129387,"toys",NA,4.2,11,23,38.1,1941
"443",67912,"toys","premium",4.2,1,16,62.2,997
"444",117864,"toys","off_brand",4.4,12,32,72.8,1637
"445",197750,"toys","off_brand",4.7,3,22,53.1,2475
"446",216386,"other","off_brand",4.7,24,12,49.2,1197
"447",78544,"toys","off_brand",4.4,6,14,60,898
"448",95886,"other","off_brand",3.3,9,19,43.5,1279
"449",97582,"toys","premium",4.4,13,35,45,1068
"450",88401,"toys","premium",4.3,7,24,38,904
"451",245655,"health","premium",4.8,13,20,73.2,2975
"452",180718,"food","off_brand",3.8,4,35,39.6,3407
"453",113012,"toys","premium",4.1,14,28,69.8,2498
"454",176867,"health","premium",4.6,5,26,59.2,2677
"455",124016,"food","premium",4.4,3,24,40,1159
"456",128631,"toys","off_brand",4.3,15,21,52.8,681
"457",118652,"food","premium",3.7,9,17,48.3,1187
"458",87548,"health","premium",4.2,6,20,59.2,879
"459",157179,"other","off_brand",4.9,2,26,49.5,1950
"460",178033,"food","off_brand",4.7,13,28,26.1,838
"461",139696,"health","off_brand",4.1,12,12,48,1806
"462",93212,"other","premium",4.3,6,NA,42.4,703
"463",137693,"toys","off_brand",3.9,6,12,74,2436
"464",184717,"other","off_brand",4.2,9,17,62.3,2782
"465",200519,"health","premium",4.2,14,12,17.7,2666
"466",118414,"health","off_brand",4.4,9,14,38.8,1030
"467",121739,"other","off_brand",4.6,6,16,61.4,1102
"468",90183,"toys","off_brand",3.4,8,24,70.1,638
"469",137596,"toys","premium",4.6,5,16,43.5,1366
"470",49482,"toys","off_brand",3.5,9,37,84.9,1146
"471",164467,"toys","off_brand",3.9,14,28,80.1,3023
"472",198294,"toys","off_brand",4.7,5,16,82.7,2725
"473",263363,"health","premium",4.4,6,7,30.8,3862
"474",156804,"other","premium",3.2,18,28,28.3,2692
"475",126698,"food","premium",3.3,12,21,33.4,1149
"476",85566,"health","premium",4.3,0,23,16.2,1080
"477",114476,"toys","off_brand",4.7,4,20,94.3,926
"478",130225,"other","premium",4.2,3,18,33.7,2457
"479",214658,"toys","off_brand",4.2,19,21,65.4,2629
"480",200912,"toys","off_brand",4.6,4,21,51.5,3616
"481",162903,"health","off_brand",4.6,6,28,22.4,1033
"482",220202,"toys","off_brand",4.8,7,NA,NA,2304
"483",197969,"food","premium",4.2,2,31,49.6,3308
"484",170825,"food","premium",4.3,6,16,24.9,2770
"485",96193,"toys","off_brand",4.3,9,20,65.8,775
"486",115336,"food","off_brand",3.2,3,13,58.2,1353
"487",155391,"toys","off_brand",4.6,4,15,93.8,2596
"488",82084,"health","premium",3.6,2,5,47.8,1567
"489",98169,"health","off_brand",4.2,2,27,68.1,1829
"490",199433,"toys","off_brand",4.4,6,24,80.3,3227
"491",149494,"health","premium",4.5,7,27,43.3,2457
"492",130461,"toys","off_brand",3.9,17,29,69.8,1856
"493",147791,"health","premium",4.7,13,11,67.9,2023
"494",220110,"other","off_brand",4,9,21,32.2,2783
"495",209550,"health","premium",4.6,17,15,32,2319
"496",214489,"other","premium",4.6,0,25,51.9,3031
"497",189324,"toys","off_brand",4.9,6,18,76.9,1677
"498",116903,"toys","premium",4.6,4,19,NA,1236
"499",57599,"health","premium",3.4,5,10,13.6,1077
